"","year_season","T0","year","season","tsIn","tsInWNoise"
"55",2031.5,12.3665837198496,2031,3,13.0102923291211,13.0127937633405
"56",2031.75,12.8666766621172,2031,4,13.52230580119,13.47298624601
"57",2032,14.1666319929063,2032,1,14.8341816617805,14.8249236552715
"58",2032.25,12.8471152223646,2032,2,13.5265854210401,13.4812175116643
"59",2032.5,12.0732767991721,2032,3,12.7646675276489,12.7566079854384
"60",2032.75,13.2435636073351,2032,4,13.9468748656132,13.9836129695175
"61",2033,14.67504446581,2033,1,15.3902762538895,15.4029055566142
"62",2033.25,13.2243757881224,2033,2,13.9515281060032,13.9756804932184
"63",2033.5,12.5966451913118,2033,3,13.3357180389939,13.3395103135716
"64",2033.75,13.1083388663828,2033,4,13.8593322438662,13.8445064702356
"65",2034,14.6644684150815,2034,1,15.4273823223663,15.491685804629
"66",2034.25,12.8318781629205,2034,2,13.6067126000066,13.5656138490424
"67",2034.5,11.9438413269818,2034,3,12.7305962938692,12.7196106543256
"68",2034.75,13.5207826495171,2034,4,14.3194581462058,14.3093698647743
"69",2035,14.6644684150815,2035,1,15.4750644415716,15.4839638550439
"70",2035.25,12.8318781629205,2035,2,13.6543947192119,13.6731849429491
"71",2035.5,11.9438413269818,2035,3,12.7782784130745,12.7672826327794
"72",2035.75,13.5207826495171,2035,4,14.3671402654111,14.3606917990894
"73",2036,15.212096247822,2036,1,16.0703743935174,16.0267347196105
"74",2036.25,12.6327717080712,2036,2,13.5029703835679,13.4610523191187
"75",2036.5,12.8737458586693,2036,3,13.7558650639673,13.7748800305206
"76",2036.75,13.6540283113718,2036,4,14.5480680464711,14.5307861133351
"77",2037,15.2112306319177,2037,1,16.1171908968184,16.1077158410379
"78",2037.25,13.5541791468859,2037,2,14.4720599415879,14.4813438996276
"79",2037.5,12.1874234229326,2037,3,13.1172247474359,13.1230381675412
"80",2037.75,13.6066376902163,2037,4,14.5483595445209,14.5073107748668
"81",2038,15.212096247822,2038,1,16.165738631928,16.1632118461956
"82",2038.25,12.6327717080712,2038,2,13.5983346219785,13.6047424721122
"83",2038.5,12.8737458586693,2038,3,13.8512293023779,13.817681769137
"84",2038.75,13.6540283113718,2038,4,14.6434322848817,14.66319745691
"85",2039,14.9041367433965,2039,1,15.9054612467078,15.9327197029666
"86",2039.25,13.5092152096331,2039,2,14.5224602427457,14.5282515040134
"87",2039.5,12.0663148798048,2039,3,13.0914804427187,13.0612008976037
